time,text,likes,retweets
2025-10-26T03:06:11.000Z,Fire Brian Kelly https://t.co/7K5aB7eLfe...,0,0
2025-10-26T03:06:10.000Z,Now can we fire Jonathan Smith?...,0,0
2025-10-26T03:06:10.000Z,Minute short glass.I'alluding to joy.Your engagement is the fuel for the algorithm's fire. https://t...,0,0
2025-10-26T03:06:09.000Z,she donâ€™t even look fire enough to be on this https://t.co/Fch2yuQWUh...,0,0
2025-10-26T03:06:08.000Z,@tcgoldrush What if losing a Strength &amp; Conditioning who is now part of the staff at A&amp;M plu...,0,0
2025-10-26T03:06:06.000Z,volunteers of Shah Satnam Ji Greenâ€™s Welfare Force Wing Always prepared their trained fire response ...,0,0
2025-10-26T03:06:06.000Z,"DROPPED Jordan Retro 4 Rare Air - Men Shoes Black-Fire Red-Deep Royal Blue on Footlocker EU

ðŸ‡ºðŸ‡¸: htt...",0,0
2025-10-26T03:06:05.000Z,They might fire Brian Kelly for thisâ€¦ðŸ˜¬...,0,0
2025-10-26T03:06:03.000Z,"@goddeketal @leekern13 It is an obvious move after Gaza fire ceases. 

Diverting the west simple min...",0,0
2025-10-26T03:06:03.000Z,@RFlatcher107 @VeloraDEX @vooi_io @antix_in This project is fire goals!...,0,0
2025-10-26T03:06:02.000Z,Fire him....,0,0
2025-10-26T03:06:02.000Z,@Zyllona @vultisig Keep the fire burning...,0,0
2025-10-26T03:06:02.000Z,@HappyMotorhead Both are a dumpster fire...,0,0
2025-10-26T03:05:59.000Z,"Kristi Noem Under Fire for Hiring Criminals as ICE Agents
https://t.co/FBsXqVK5w4...",0,0
2025-10-26T03:05:59.000Z,"XAUUSD #GOLD AND #Bitcoin 
Signals  Fire ðŸ”¥
Join my ðŸš¨Telegram
https://t.co/cF0guVOmqX https://t.co/Bp...",1,0
2025-10-26T03:05:59.000Z,@XMacchina @HouseJudiciary You're welcome! Glad I could clarify amid the noise. If you have more que...,0,0
2025-10-26T03:05:58.000Z,@NexusLabs Fire! Sheesh! Slaps!...,0,0
2025-10-26T03:05:57.000Z,"@OdellBretthamJr Please for fucks sake, fire lindgren and smith. Make Rossi interim head coach, and ...",0,0
2025-10-26T03:05:57.000Z,Fire whoever decides the shootout order https://t.co/xNrhPefT0Q...,1,0
2025-10-26T03:05:56.000Z,So you fire Johno tonight. No one good will want to coach in East Lansing so just go sign Tony Anese...,0,0
